Longitude;Latitude
13,68474105;51,07612585
13,841465;51,179753
14,45845;51,19079
14,37914;51,76774
12,289367;51,412051
12,238309;51,406019
12,002916;51,48047
12,10249;51,52565
12,073021;50,907763
12,564376;50,690611
12,445217;50,827485
12,36483;50,66829
12,880569;50,813957
12,97032;50,87234
13,38507;52,531474
13,49555;52,522497
13,539954;52,512048
13,540914;52,511592
6,584473;51,534312
6,586925;51,477995
6,693153;51,430764
7,556845;52,135798
7,551223;52,139988
7,64666;51,93119
8,071483;52,271714
7,976275;52,266086
6,92336;50,88597
6,907787;50,945193
8,257656;49,948167
10,110118;53,496898
10,26041;53,69199
10,024393;53,720678
9,936382;53,566195
10,100364;53,528429
10,652917;53,833639
10,601355;53,862998
9,43726;54,7774
9,99635;54,04716
13,527193;52,533777
13,48984;52,38494
13,430993;52,451965
13,370157;52,44429
13,36609;52,46743
13,269504;52,532002
13,310794;52,579511
13,411429;52,568451
13,467071;52,564275
13,316712;52,377549
13,285356;52,32903
12,92719;52,6794
13,193117;52,409958
13,23161;52,38595
13,268604;52,402362
13,060818;52,398023
13,286762;52,479204
13,777446;52,485047
13,521988;52,250246
13,20789;52,62075
13,52247;52,607563
13,056028;53,335347
12,465187;53,377615
13,21272;53,5756
12,044109;54,076662
12,21961;54,07951
12,132462;54,075373
11,37573;53,56744
10,223659;53,526887
9,90388;53,48281
10,139286;54,311521
9,764098;53,714191
9,70275;53,74387
8,477848;53,326247
7,382872;53,073828
8,259893;53,104709
8,26302;53,10986
8,701613;53,231505
8,691174;53,230859
8,880641;53,032025
10,16095;54,27553
8,77579;53,051059
8,70577;53,09956
10,578857;53,075115
10,103645;52,641413
9,781413;52,25999
9,87487;52,3567
9,709083;52,348895
9,730725;52,386205
9,21034;52,655432
8,772011;52,205852
8,636749;52,099479
8,62066;52,00494
8,514786;51,971499
8,38529;51,908185
8,72583;51,6878
9,63388;51,37329
9,51389;51,2683
9,50998;51,27416
8,646627;50,49124
9,593612;50,790326
9,707106;50,865272
9,774769;50,922061
9,71705;50,48359
9,88981;51,51924
10,794803;51,851991
10,750887;52,3732
10,554094;52,253932
10,4776;52,31848
11,598273;52,05094
6,839168;51,346933
6,93343;51,12353
6,85181;51,165129
6,814196;51,214321
6,33204;51,23208
6,786389;51,145778
6,759692;51,167337
6,43947;51,11731
7,07285;51,35457
7,203279;51,240034
7,262916;51,467075
7,203019;51,519953
7,528422;51,609683
7,376282;51,51844
7,504889;51,534801
7,098134;51,505406
7,281786;51,639471
6,96943;51,492382
6,987306;51,500543
7,09361;51,438579
6,802138;51,559796
7,02095;51,65786
6,852006;51,47338
6,512663;51,279243
6,528817;51,291471
6,91979;50,835727
6,831962;50,926053
6,835904;50,921048
7,514274;50,930171
7,15622;50,9669
6,991022;51,030284
7,04719;50,91024
6,471028;50,810046
6,167128;50,806049
6,15551;50,76814
6,113434;50,786117
7,09902;50,827993
7,189057;50,798207
7,067166;50,751458
6,69343;49,79824
8,16991;49,87935
8,274385;50,031035
8,253823;49,960912
7,50413;50,4449
7,59635;50,385568
7,575133;50,387111
7,911124;50,912315
7,699981;51,430285
7,629587;51,217673
7,396622;51,457345
7,29307;51,296115
7,50915;51,39191
7,893098;51,559605
7,673861;51,565834
7,934593;51,676016
8,577129;50,051864
8,592962;50,129676
8,760701;50,1194
8,637357;50,094621
8,518373;50,30615
9,154791;49,983654
8,971127;50,124151
8,69935;50,0324
8,829942;50,059085
8,86791;49,98494
8,746554;50,083825
8,614192;49,639454
8,598954;49,89429
8,61048;49,81431
8,621381;49,858904
8,647488;49,885265
8,557644;50,104382
8,476456;50,061282
8,257513;50,198952
8,32599;49,987267
8,20396;50,050253
6,811528;49,324496
7,092185;49,275906
8,932827;50,329638
6,968196;49,21423
8,347172;49,688097
8,47116;49,29445
8,42641;49,475412
8,556502;49,515756
8,497881;49,511211
8,65483;49,5482
8,685601;49,355541
9,133573;48,846077
9,113354;48,729635
9,293177;48,824303
9,299523;48,824879
9,033034;48,631009
9,268287;48,361574
9,147299;48,496914
8,77041;48,48717
9,785944;48,799724
9,37563;48,68648
9,726617;48,689366
9,700312;49,097904
9,15605;49,18161
8,715803;48,911117
8,35928;49,00133
8,348289;49,028044
8,55945;49,11966
7,95436;48,48315
7,820618;48,350579
8,57038;48,07095
9,146281;47,681397
7,81949;48,03933
7,838522;48,029519
7,571988;47,65816
11,523888;48,148277
11,525105;48,145257
11,561351;48,189245
11,420904;48,137642
11,369457;48,140858
11,26566;48,17267
11,42514;48,01458
12,077836;47,841576
12,14475;48,5629
11,74688;48,35658
11,651202;48,070095
11,73595;48,16486
11,594474;48,262531
10,8687;48,40424
10,855162;48,410665
10,846656;48,200471
10,32276;47,75981
10,608006;47,773884
9,498252;47,662682
9,60062;47,77673
9,63663;47,82004
9,758856;47,938881
10,037702;48,383906
10,28433;48,42557
11,015;49,45902
11,137491;49,42003
11,181471;49,38799
11,003317;49,584772
11,97801;49,39507
12,146931;48,999564
12,14874;49,01117
12,282411;49,210388
13,487996;48,667463
12,6565;48,89855
11,60749;49,91512
10,921554;49,919856
10,004135;49,802422
9,89392;49,80268
10,17497;49,75587
10,2096;50,035938
10,70251;50,58181
